"TweetID","User","Tweet","Latitude","Longitude","IsHashtag","IsURL","IsRetweet","Language","Category","W_#aksyonsahagupit","W_#rubyph","W_@_iancruz","W_@akosijaysent","W_@dzbb","W_@dzmmteleradyo","W_@gmanews","W_agutaya","W_all","W_ang","W_antas","W_at","W_bagyong","W_bilang","W_bukas","W_buong","W_catbalogan","W_city","W_cuyo","W_dahil","W_dec","W_dolores","W_eastern","W_evacuation","W_for","W_goods","W_gumaca","W_hangin","W_in","W_ipinagagamit","W_kuryente","W_laguna","W_lahat","W_magsaysay","W_manila","W_metro","W_muling","W_na","W_nang","W_ng","W_ni","W_of","W_palawan","W_pampanga","W_personnel","W_preso","W_ps36","W_quezon","W_rizal","W_romblon","W_rt","W_sa","W_samar","W_san","W_signal","W_tacloban","W_towns","W_transported","W_ulat","W_via","W_video","W_wala","N_#r","N_,_","N_._","N_/t","N_:/","N_:_","N_@d","N__#","N__@","N__a","N__b","N__h","N__k","N__m","N__n","N__s","N__v","N_a_","N_ac","N_ag","N_ah","N_al","N_an","N_as","N_at","N_ay","N_ba","N_bu","N_by","N_co","N_el","N_er","N_g_","N_ga","N_h_","N_ha","N_ia","N_il","N_in","N_la","N_li","N_ma","N_na","N_ng","N_on","N_ph","N_ro","N_ru","N_sa","N_t_","N_ta","N_te","N_to","N_tp","N_tt","N_ub","N_vi","N_yp","Length"
"1","francis14410312","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent",,,"1","0","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","0","0","0","0","1","2","0","0","0","1","3","1","1","1","0","0","0","1","1","1","0","0","1","1","1","2","0","1","1","2","1","1","1","0","1","0","0","1","0","0","1","0","1","2","1","1","2","1","0","2","1","22"
"2","jhea273","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9",,,"1","1","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","1","2","0","0","0","1","3","1","1","1","0","1","0","1","1","1","0","1","1","1","1","2","0","1","1","2","1","2","1","1","1","0","1","1","0","0","1","1","1","2","1","1","2","1","0","2","1","23"
"3","BYE_ayihh","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9",,,"1","1","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","1","2","0","0","0","1","3","1","1","1","0","1","0","1","1","1","0","1","1","1","1","2","0","1","1","2","1","2","1","1","1","0","1","1","0","0","1","1","1","2","1","1","2","1","0","2","1","23"
"4","rubyresponse","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9",,,"1","1","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","1","2","0","0","0","1","3","1","1","1","0","1","0","1","1","1","0","1","1","1","1","2","0","1","1","2","1","2","1","1","1","0","1","1","0","0","1","1","1","2","1","1","2","1","0","2","1","23"
"5","ericka_shi","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9",,,"1","1","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","1","2","0","0","0","1","3","1","1","1","0","1","0","1","1","1","0","1","1","1","1","2","0","1","1","2","1","2","1","1","1","0","1","1","0","0","1","1","1","2","1","1","2","1","0","2","1","23"
"6","KeniticChoy","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9",,,"1","1","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","1","2","0","0","0","1","3","1","1","1","0","1","0","1","1","1","0","1","1","1","1","2","0","1","1","2","1","2","1","1","1","0","1","1","0","0","1","1","1","2","1","1","2","1","0","2","1","23"
"7","itsmelianne28","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9",,,"1","1","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","1","2","0","0","0","1","3","1","1","1","0","1","0","1","1","1","0","1","1","1","1","2","0","1","1","2","1","2","1","1","1","0","1","1","0","0","1","1","1","2","1","1","2","1","0","2","1","23"
"8","gutierrez_allen","RT @gmanews: ROMBLON â?? As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9",,,"1","1","1","tl","CH","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","1","2","0","0","0","1","3","1","1","1","0","1","0","1","1","1","0","1","1","1","1","2","0","1","1","2","1","2","1","1","1","0","1","1","0","0","1","1","1","2","1","1","2","1","0","2","1","23"
"9","RubyPHNews1","RT @gmanews: SORSOGON â?? Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb",,,"1","0","1","tl","CH","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","1","1","0","1","1","0","0","0","0","2","4","0","1","0","3","1","1","1","0","0","0","0","1","1","1","1","0","2","0","1","3","1","2","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","2","3","1","2","3","2","20"
"10","DILGkyusi","RT @gmanews: SORSOGON â?? Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb",,,"1","0","1","tl","CH","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","1","1","0","1","1","0","0","0","0","2","4","0","1","0","3","1","1","1","0","0","0","0","1","1","1","1","0","2","0","1","3","1","2","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","2","3","1","2","3","2","20"
"11","janesyther20","RT @gmanews: SORSOGON â?? Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb",,,"1","0","1","tl","CH","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","1","1","0","1","1","0","0","0","0","2","4","0","1","0","3","1","1","1","0","0","0","0","1","1","1","1","0","2","0","1","3","1","2","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","2","3","1","2","3","2","20"
"12","MyShe29","RT @gmanews: SORSOGON â?? Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb",,,"1","0","1","tl","CH","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","1","1","0","1","1","0","0","0","0","2","4","0","1","0","3","1","1","1","0","0","0","0","1","1","1","1","0","2","0","1","3","1","2","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","2","3","1","2","3","2","20"
"13","JNaagxx","RT @gmanews: SORSOGON â?? Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb",,,"1","0","1","tl","CH","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","1","1","0","1","1","0","0","0","0","2","4","0","1","0","3","1","1","1","0","0","0","0","1","1","1","1","0","2","0","1","3","1","2","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","2","3","1","2","3","2","20"
"14","MIKETONGCO","RT @gmanews: SORSOGON â?? Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb",,,"1","0","1","tl","CH","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","1","1","0","1","1","0","0","0","0","2","4","0","1","0","3","1","1","1","0","0","0","0","1","1","1","1","0","2","0","1","3","1","2","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","2","3","1","2","3","2","20"
"15","KeniticChoy","RT @gmanews: SORSOGON â?? Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb",,,"1","0","1","tl","CH","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","1","1","0","1","1","0","0","0","0","2","4","0","1","0","3","1","1","1","0","0","0","0","1","1","1","1","0","2","0","1","3","1","2","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","2","3","1","2","3","2","20"
"16","iKkOtEddY","RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz",,,"1","0","1","tl","CH","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","2","3","1","2","0","0","1","0","0","0","1","1","3","0","0","0","1","1","1","0","1","0","0","0","1","1","1","0","0","1","0","1","1","0","0","1","1","0","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","1","2","0","2","1","14"
